book_id,processed_dir,title,genre_primary,chunk_index,pc,direction,score,text_preview
1184,count_monte_cristo,The Count of Monte Cristo,Adventure,331,PC1,positive,0.5262280106544495,"shore of the Mediterranean. If Bonaparte landed at Naples, the whole coalition would be on foot before he could even reach Piombino; if he land in Tuscany, he will be in an unfriendly territory; if he land in France, it "
1184,count_monte_cristo,The Count of Monte Cristo,Adventure,1850,PC1,positive,0.5238817930221558,"my honor,’ replied M. de Villefort; ‘they fancy that their countryman is still emperor. You have mistaken the time, you should have told me this two months ago, it is too late now. Go now, at once, or I shall have you pu"
1257,three_musketeers,The Three Musketeers,Adventure,317,PC1,positive,0.5154047608375549,"Luxembourg to the Place St. Sulpice, or from the Rue du Vieux-Colombier to the Luxembourg. In the meanwhile the promises of M. de Tréville went on prosperously. One fine morning the king commanded M. de Chevalier Dessess"
1257,three_musketeers,The Three Musketeers,Adventure,577,PC1,positive,0.4987051486968994,"“police affairs! And what do you know about them, Monsieur? Meddle with your Musketeers, and do not annoy me in this way. It appears, according to your account, that if by mischance a Musketeer is arrested, France is in "
1184,count_monte_cristo,The Count of Monte Cristo,Adventure,388,PC1,positive,0.49865084886550903,"was all powerful at court, and thus the Girondin of ’93 and the Senator of 1806 protected him who so lately had been his protector. All Villefort’s influence barely enabled him to stifle the secret Dantès had so nearly d"
1257,three_musketeers,The Three Musketeers,Adventure,559,PC1,positive,0.4844011068344116,"not have the time necessary, from this moment declared that his name was Athos, and not D’Artagnan. He added that he did not know either M. or Mme. Bonacieux; that he had never spoken to the one or the other; that he had"
175,phantom_opera,The Phantom of the Opera,Gothic,554,PC1,positive,0.36311841011047363,"has really carried Christine Daae off or not ... but I want to know and I believe that, at this moment, no one is more anxious to inform us than his brother ... And now he is flying in pursuit of him! He is my chief auxi"
175,phantom_opera,The Phantom of the Opera,Gothic,814,PC1,positive,0.3566727936267853,"he saw that he was being victimized by a shrewd blackmailer to whom Debienne himself had fallen a prey. Both of them, already tired of management for various reasons, went away without trying to investigate further into "
175,phantom_opera,The Phantom of the Opera,Gothic,783,PC1,positive,0.35260507464408875,"not hear him. Erik returned, mixed the daroga a draft and advised him not to speak to ""his wife"" again nor to any one, BECAUSE IT MIGHT BE VERY DANGEROUS TO EVERYBODY'S HEALTH. Eventually, the Persian fell asleep, like M"
521,robinson_crusoe,Robinson Crusoe,Adventure,970,PC1,positive,0.2978517413139343,"barque large enough to carry us all away, either to the Brazils southward, or to the islands or Spanish coast northward; but that if, in requital, they should, when I had put weapons into their hands, carry me by force a"
1661,adventures_sherlock_holmes,The Adventures of Sherlock Holmes,Mystery,861,PC1,positive,0.265868604183197,"me that the money should be paid at once.’ “‘I should be happy to advance it without further parley from my own private purse,’ said I, ‘were it not that the strain would be rather more than it could bear. If, on the oth"
521,robinson_crusoe,Robinson Crusoe,Adventure,1137,PC1,positive,0.26304805278778076,"give answers suitable to the just and faithful account of things I had from thence; and, first, to the Prior of St. Augustine I wrote a letter full of thanks for his just dealings, and the offer of the eight hundred and "
521,robinson_crusoe,Robinson Crusoe,Adventure,124,PC1,positive,0.25851234793663025,"take away that life I have given. No, no,” says he: “Seignior Inglese” (Mr. Englishman), “I will carry you thither in charity, and those things will help to buy your subsistence there, and your passage home again.” As he"
345,dracula,Dracula,Horror,175,PC1,positive,0.25447535514831543,"* * * * _19 May._--I am surely in the toils. Last night the Count asked me in the suavest tones to write three letters, one saying that my work here was nearly done, and that I should start for home within a few days, an"
345,dracula,Dracula,Horror,1418,PC1,positive,0.2531032860279083,"we are to see the Vice-Consul, and to arrange, if we can, about getting on board the ship as soon as she arrives. Van Helsing says that our chance will be to get on the boat between sunrise and sunset. The Count, even if"
16,peter_pan,Peter Pan,Fantasy,26,PC1,negative,-0.44747158885002136,"up.” “Were not the leaves at the foot of the window, mother?” It was quite true; the leaves had been found very near the window. Mrs. Darling did not know what to think, for it all seemed so natural to Wendy that you cou"
16,peter_pan,Peter Pan,Fantasy,194,PC1,negative,-0.4324108958244324,"or the only available tree is an odd shape, Peter does some things to you, and after that you fit. Once you fit, great care must be taken to go on fitting, and this, as Wendy was to discover to her delight, keeps a whole"
