claim_id,claim_text,metric_key_or_source,status
CLM01,The corpus contains 20 books with a deterministic novel-level split.,corpus::n_books;corpus::train_novels;corpus::test_novels,mapped
CLM02,The student model is trained with fixed optimization settings and L2 regularization.,ciw5::train::seed;ciw5::train::lr;ciw5::train::epochs;ciw5::train::batch_size;ciw5::train::weight_decay,mapped
CLM03,CIW-5 is selected by trend-fidelity-first criterion on the test split.,selected_variant_code;variant::CIW-5::test::rank_trend_primary,mapped
CLM04,CIW-5 has the strongest MA(5) trend-level error profile on test data.,variant::CIW-5::test::mae_ma5;variant::NC-1::test::mae_ma5;variant::SW-5::test::mae_ma5,mapped
CLM05,CIW-5 reduces error when evaluated on smoothed trajectories.,variant::CIW-5::test::mae_drop_raw_to_ma5,mapped
CLM06,Feature clustering uses a data-driven selection and DTW is retained as validation.,cluster::feature::selected_method;cluster::feature::selected_k;cluster::dtw::selected_k,mapped
CLM07,Feature and DTW clustering agreement is limited and should be interpreted cautiously.,cluster::agreement::ari;cluster::agreement::nmi,mapped
CLM08,Teacher-side variant protocols exhibit measurable disagreement.,path:/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/excitement_variant_analysis/tables/variant_pairwise_agreement_global.csv,mapped
CLM09,Per-book CIW-5 behavior is explicitly documented for all novels.,path:/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/final_report/tables/ciw5_per_book_deepdive.csv,mapped
CLM10,Final report figures and tables are reproducibly generated by stage-10 notebook.,path:/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/final_report/tables/variant_selection_diagnostics.csv;path:/Users/kongfha/Desktop/Time_Series_Mining/story-trajectory-analysis/outputs/final_report/tables/key_results_registry.csv,mapped
